"","iso2c","Country","Year","WayofTeaching","PercentFear","PercentNascent","PercentPerceived","PercentOwner","PercentIntention","PercentOpportunities"
"98","DE","Germany",2007-12-06,NA,NA,NA,NA,NA,NA,NA
"99","DE","Germany",2008-12-06,1.95,40,2.4,35,4,4.2,24
"100","DE","Germany",2009-12-06,2.23,37,2.2,40,5.1,5.3,22
"101","DE","Germany",2010-12-06,2.33,34,2.5,42,5.7,6.4,28
"102","DE","Germany",2011-12-06,2.64310254665123,42,3.4,37,5.6,5.5,35
"103","DE","Germany",2012-12-06,2.75070838671913,42,3.5,37,5,6,36
"104","DE","Germany",2013-12-06,1.73679854082462,39,3.1,38,5.1,6.8,31
"105","DK","Denmark",2001-12-06,2.69444444444444,24,3,41,4.2,3.59078274545554,46
"106","DK","Denmark",2002-12-06,2.16129032258065,25,3.6,37,5.5,6.2,51
"107","DK","Denmark",2003-12-06,2.53846153846152,29,3,37,5.7,5.1,42
"108","DK","Denmark",2004-12-06,2.52631578947368,25,2.5,40,5.1,6.5,49
"109","DK","Denmark",2005-12-06,2.85714285714286,40,2.4,38,4.4,7.2,66
"110","DK","Denmark",2006-12-06,2.74285714285714,39,2.9,36,5.3,6.5,65
"111","DK","Denmark",2007-12-06,3.05263157894737,34,2.3,36,6,6.2,71
"112","DK","Denmark",2008-12-06,2.6,42,2.2,32,3.3,5.5,62
"113","DK","Denmark",2009-12-06,3.15,37,1.6,35,4.7,2.6,34
"114","DK","Denmark",2010-12-06,2.38570976112366,32,1.8,41,5.6,5.9,46
"115","DK","Denmark",2011-12-06,1.70373421032662,41,3.1,35,4.9,6.7,47
"116","DK","Denmark",2012-12-06,2.34919668710544,39,3.1,31,3.4,6.6,44
"117","DK","Denmark",2013-12-06,NA,NA,NA,NA,NA,NA,NA
"118","EE","Estonia",2001-12-06,NA,NA,NA,NA,NA,NA,NA
"119","EE","Estonia",2002-12-06,NA,NA,NA,NA,NA,NA,NA
"120","EE","Estonia",2003-12-06,NA,NA,NA,NA,NA,NA,NA
"121","EE","Estonia",2004-12-06,NA,NA,NA,NA,NA,NA,NA
"122","EE","Estonia",2005-12-06,NA,NA,NA,NA,NA,NA,NA
"123","EE","Estonia",2006-12-06,NA,NA,NA,NA,NA,NA,NA
"124","EE","Estonia",2007-12-06,NA,NA,NA,NA,NA,NA,NA
"125","EE","Estonia",2008-12-06,NA,NA,NA,NA,NA,NA,NA
"126","EE","Estonia",2009-12-06,NA,NA,NA,NA,NA,NA,NA
"127","EE","Estonia",2010-12-06,NA,NA,NA,NA,NA,NA,NA
"128","EE","Estonia",2011-12-06,NA,NA,NA,NA,NA,NA,NA
"129","EE","Estonia",2012-12-06,2.43761436200108,34,9.5,43,7.2,16.4,45
"130","EE","Estonia",2013-12-06,2.58476709655854,39,8.8,40,5,19.4,46
"131","ES","Spain",2001-12-06,2.11428571428573,36,3.3,49,4.7,11.6727727339916,48
"132","ES","Spain",2002-12-06,1.82857142857141,42,2.2,49,8.4,7,42
"133","ES","Spain",2003-12-06,1.79230769230768,40,4.6,31,4,4.9,31
"134","ES","Spain",2004-12-06,1.99404761904762,45,2.1,41,7.8,4.3,39
"135","ES","Spain",2005-12-06,2.65714285714286,42,2.4,48,7.7,4.2,38
"136","ES","Spain",2006-12-06,2.32352941176471,44,3,46,5.4,4.4,33
"137","ES","Spain",2007-12-06,2.06060606060606,47,3.5,45,6.4,4.3,34
"138","ES","Spain",2008-12-06,2.19,47,3.3,47,9.1,5,25
"139","ES","Spain",2009-12-06,1.96,45,2.3,48,6.4,4.3,16
"140","ES","Spain",2010-12-06,1.72,36,2.2,50,7.7,5.8,19
"141","ES","Spain",2011-12-06,1.784203190176,39,3.3,51,8.9,8,14
"142","ES","Spain",2012-12-06,2.39753434648515,42,3.4,50,8.7,11.1,14
"143","ES","Spain",2013-12-06,2.17358620292271,36,3.1,48,8.4,8.4,16
"144","FI","Finland",2001-12-06,2.23529411764706,35,2,38,7.5,10.7380809437089,55
"145","FI","Finland",2002-12-06,2.23404255319149,28,2.7,39,8.5,5,51
"146","FI","Finland",2003-12-06,2.29411764705883,37,3,38,0.5,5.5,49
"147","FI","Finland",2004-12-06,2.63157894736842,36,2.6,36,7.5,3.7,38
"148","FI","Finland",2005-12-06,2.68571428571429,29,3.1,36,8.6,4.3,47
"149","FI","Finland",2006-12-06,2.46666666666667,36,2.9,37,8.2,5.1,50
"150","FI","Finland",2007-12-06,2.81632653061225,29,4.3,40,7.6,4.6,53
"151","FI","Finland",2008-12-06,2.82,23,4.1,39,9.2,5.2,50
"152","FI","Finland",2009-12-06,2.4,26,2.9,35,8.5,4.2,40
"153","FI","Finland",2010-12-06,2.63,29,2.4,40,9.4,5.9,51
"154","FI","Finland",2011-12-06,2.19096972623228,32,3,37,8.8,7.1,61
"155","FI","Finland",2012-12-06,2.68179505813812,37,3.5,34,8,7.7,55
"156","FI","Finland",2013-12-06,2.13567464043722,37,2.7,33,6.6,8.3,44
"157","FR","France",2001-12-06,1.68571428571427,29,1.9,20,1.6,0.615707662721874,7
"158","FR","France",2002-12-06,1.42857142857141,22,2.3,26,1.3,3,10
"159","FR","France",2003-12-06,1.35294117647061,34,0.9,25,1.6,5.8,9
"160","FR","France",2004-12-06,2.09063884194202,42,4.9,33,1.5,11.6,21
"161","FR","France",2005-12-06,2.1121133476825,42,4.7,36,2.3,11.4,22
"162","FR","France",2006-12-06,1.9201650514627,43,3.8,33,1.3,13.3,21
"163","FR","France",2007-12-06,1.93919842290117,41,2.3,33,1.7,15.3,23
"164","FR","France",2008-12-06,1.3474072452973,52,3.8,25,2.8,12.7,22
"165","FR","France",2009-12-06,1.69755545680538,47,3.1,27,3.2,15.9,24
"166","FR","France",2010-12-06,1.6,40,3.8,37,2.4,14.2,34
"167","FR","France",2011-12-06,1.89508172706806,37,4.1,38,2.4,17.7,35
"168","FR","France",2012-12-06,1.19382628001221,43,3.7,36,3.2,17.3,38
"169","FR","France",2013-12-06,1.65052289797511,41,2.7,33,4.1,12.6,23
"170","GB","United Kingdom",2001-12-06,2.70421037670234,33,3.3,46,3.3,11.6699120892464,23
"171","GB","United Kingdom",2002-12-06,2.46875,33,2.5,46,5.5,4.2,27
"172","GB","United Kingdom",2003-12-06,2.71074289132549,31,3.4,48,5.8,5.4,35
"173","GB","United Kingdom",2004-12-06,1.52946186736562,33,3.4,52,5.1,7.4,36
"174","GB","United Kingdom",2005-12-06,2.6,33,3.4,51,5.1,6.7,39
"175","GB","United Kingdom",2006-12-06,2.6551724137931,33,3.2,50,5.4,5.6,37
"176","GB","United Kingdom",2007-12-06,2.68421052631579,34,2.9,49,5.1,5.6,39
"177","GB","United Kingdom",2008-12-06,2.13033827962904,34,3.1,50,6,5.3,30
"178","GB","United Kingdom",2009-12-06,1.95,32,2.7,47,6.1,4.3,24
"179","GB","United Kingdom",2010-12-06,2.54669909130533,30,3.2,52,6.4,5.1,29
"180","GB","United Kingdom",2011-12-06,2.17023771018284,36,4.7,42,7.2,8.9,33
"181","GB","United Kingdom",2012-12-06,2.01398850553927,36,5.3,47,6.2,9.5,33
"182","GB","United Kingdom",2013-12-06,2.4647777403387,36,3.6,44,6.6,7.2,36
"183","GR","Greece",2001-12-06,NA,NA,NA,NA,NA,NA,NA
"184","GR","Greece",2002-12-06,NA,NA,NA,NA,NA,NA,NA
"185","GR","Greece",2003-12-06,2.14285714285714,49,2.9,52,19.6,11.4,24
"186","GR","Greece",2004-12-06,1.91428571428571,48,3.7,54,6.5,11.4,29
"187","GR","Greece",2005-12-06,2.05555555555556,50,5.2,45,10.5,14.7,16
"188","GR","Greece",2006-12-06,2.28571428571429,48,5.7,46,8.2,12.5,22
"189","GR","Greece",2007-12-06,1.91428571428571,54,4.6,48,13.3,11.8,29
"190","GR","Greece",2008-12-06,1.92,46,5.3,55,12.6,12.6,28
"191","GR","Greece",2009-12-06,1.75,45,4.5,58,15.1,14.6,26
"192","GR","Greece",2010-12-06,1.94,51,2.1,52,14.8,12.8,16
"193","GR","Greece",2011-12-06,2.31482504487543,38,4.4,50,15.8,10.5,11
"194","GR","Greece",2012-12-06,1.58631228336528,61,3.8,50,12.3,9.5,13
"195","GR","Greece",2013-12-06,2.39797043721032,49,3.3,46,12.6,8.8,14
"196","HU","Hungary",2001-12-06,2.66666666666667,10,5.5,55,5.9,14.8952364460835,9
"197","HU","Hungary",2002-12-06,2.5,17,3.4,53,5.5,5.9,10
"198","HU","Hungary",2003-12-06,NA,NA,NA,NA,NA,NA,NA
"199","HU","Hungary",2004-12-06,2.55,38,2.7,21,2.2,2.5,17
"200","HU","Hungary",2005-12-06,1.76923076923077,30,1.1,15,2,1.5,10
"201","HU","Hungary",2006-12-06,2.77272727272727,15,3.2,43,6.7,9,16
"202","HU","Hungary",2007-12-06,2.27758044343774,17,3.8,44,4.8,8.7,28
"203","HU","Hungary",2008-12-06,2.33290394545645,34,3.8,48,5.3,6.2,19
"204","HU","Hungary",2009-12-06,2.38,33,5.4,41,6.7,13,3
"205","HU","Hungary",2010-12-06,1.97,42,4.9,43,5.4,13.8,33
"206","HU","Hungary",2011-12-06,1.69248363938907,35,4.8,40,2,19.5,14
"207","HU","Hungary",2012-12-06,2.24894631982765,34,5.8,40,8.1,13,11
"208","HU","Hungary",2013-12-06,2.31905545436428,45,6,38,7.2,13.7,19
"209","IE","Ireland",2001-12-06,2.67857142857141,40,7.1,46,4.5,20.9003267784399,34
"210","IE","Ireland",2002-12-06,2.3,30,5.7,50,8,7.4,39
"211","IE","Ireland",2003-12-06,2.52238805970147,37,5.1,46,6.7,6.9,33
"212","IE","Ireland",2004-12-06,2.19047619047619,34,4.4,48,6.5,7.8,45
"213","IE","Ireland",2005-12-06,2.44444444444444,34,5.7,50,8.1,8.4,52
"214","IE","Ireland",2006-12-06,2.27659574468085,34,4.5,51,7.8,6.3,44
"215","IE","Ireland",2007-12-06,2.85106382978723,37,4.2,49,9,7.7,46
"216","IE","Ireland",2008-12-06,2.75,33,3.3,48,9,6.4,27
"217","IE","Ireland",2009-12-06,NA,NA,NA,NA,NA,NA,NA
"218","IE","Ireland",2010-12-06,2.49,33,4.4,49,8.6,6.1,23
"219","IE","Ireland",2011-12-06,2.57020024641076,33,4.3,46,8,5.8,26
"220","IE","Ireland",2012-12-06,1.69449946726092,35,3.9,45,8.3,5.4,26
"221","IE","Ireland",2013-12-06,2.46806766729532,40,5.5,43,7.5,12.6,28
"222","IL","Israel",2001-12-06,2.47058823529411,33,0.9,36,3.35558988438955,-5.25048463026144,18
"223","IL","Israel",2002-12-06,2.22580645161291,38,3.3,47,5.7,14.4,26
"224","IL","Israel",2003-12-06,NA,NA,NA,NA,NA,NA,NA
"225","IL","Israel",2004-12-06,2.24,44,4.3,42,3.9,16.6,32
"226","IL","Israel",2005-12-06,NA,NA,NA,NA,NA,NA,NA
"227","IL","Israel",2006-12-06,NA,NA,NA,NA,NA,NA,NA
"228","IL","Israel",2007-12-06,2.26315789473684,44,3.6,38,2.4,12.6,24
"229","IL","Israel",2008-12-06,1.93821212357497,45,3.5,38,4.1,14.2,25
"230","IL","Israel",2009-12-06,2.38,37,3.4,38,4.3,13.6,29
"231","IL","Israel",2010-12-06,2.14,47,3.1,40,3.3,13.5,34
"232","IL","Israel",2011-12-06,NA,NA,NA,NA,NA,NA,NA
"233","IL","Israel",2012-12-06,2.39405394018846,47,3.5,29,3.8,12.8,31
"234","IL","Israel",2013-12-06,2.68807338753381,52,5.3,36,5.9,24,47
"235","IS","Iceland",2001-12-06,NA,NA,NA,NA,NA,NA,NA
"236","IS","Iceland",2002-12-06,2.23529411764706,39,5.7,46,10.4,13.5,42
"237","IS","Iceland",2003-12-06,2.67741935483869,38,7.2,48,7.3,14.3,50
"238","IS","Iceland",2004-12-06,2.28571428571429,44,7.7,48,7.3,13,55
"239","IS","Iceland",2005-12-06,2.7,42,8.4,47,7.3,15.9,62
"240","IS","Iceland",2006-12-06,2.26666666666667,40,7.2,50,6.7,15.4,60
"241","IS","Iceland",2007-12-06,2.46666666666667,39,8.5,46,8.8,14.9,69
"242","IS","Iceland",2008-12-06,2.24771733480638,35,6.5,52,7.1,11.9,37
"243","IS","Iceland",2009-12-06,2.4,36,7.6,50,8.9,15,44
"244","IS","Iceland",2010-12-06,2.5,34,7.4,49,7.4,15.7,49
"245","IS","Iceland",2011-12-06,NA,NA,NA,NA,NA,NA,NA
"246","IS","Iceland",2012-12-06,NA,NA,NA,NA,NA,NA,NA
"247","IS","Iceland",2013-12-06,NA,NA,NA,NA,NA,NA,NA
"248","IT","Italy",2001-12-06,2.125,28,4.4,33,3.6,12.9540639643507,48
"249","IT","Italy",2002-12-06,2.84927042462205,29,3.7,39,3.6,9.4,40
"250","IT","Italy",2003-12-06,2.625,38,2,35,2.3,6.5,34
"251","IT","Italy",2004-12-06,2.08854596378132,32,2.5,33,4.7,9.3,25
"252","IT","Italy",2005-12-06,2.05882352941176,30,2.9,32,6.4,8.8,15
"253","IT","Italy",2006-12-06,2.47058823529412,38,2.2,44,3,8.3,23
"254","IT","Italy",2007-12-06,2.11764705882353,40,3.6,51,5.6,10.3,39
"255","IT","Italy",2008-12-06,1.87,45,2,40,6.5,7.1,30
"256","IT","Italy",2009-12-06,2,39,1.8,41,5.8,4.5,25
"257","IT","Italy",2010-12-06,1.84,37,1.3,42,3.7,4,25
"258","IT","Italy",2011-12-06,NA,NA,NA,NA,NA,NA,NA
"259","IT","Italy",2012-12-06,1.9017076912723,58,2.5,30,3.3,10.8,20
"260","IT","Italy",2013-12-06,1.29490219246425,49,2.4,29,3.7,9.8,17
"261","JP","Japan",2001-12-06,1.64864864864863,22,1.2,11,5.1,3.29210245292427,7
"262","JP","Japan",2002-12-06,1.54054054054052,29,0.8,11,6.8,0.9,5
"263","JP","Japan",2003-12-06,1.8862668886993,39,1.4,12,6,1.9,7
"264","JP","Japan",2004-12-06,1.66666666666667,30,0.4,14,4.7,0.7,14
"265","JP","Japan",2005-12-06,2.04031337555513,45,1.1,13,5.4,0.8,17
"266","JP","Japan",2006-12-06,2.30589202784352,29,1.6,16,4.8,2,9
"267","JP","Japan",2007-12-06,2.39152864050694,43,2.2,15,8.6,2.3,9
"268","JP","Japan",2008-12-06,2.63715261873016,51,3.2,13,7.9,3.8,8
"269","JP","Japan",2009-12-06,2.30277507245535,50,1.9,14,7.8,3,8
"270","JP","Japan",2010-12-06,1.77,33,1.5,14,7.4,2.9,6
"271","JP","Japan",2011-12-06,2.10765919226542,42,3.3,14,8.3,3.8,6
"272","JP","Japan",2012-12-06,1.67080005285282,53,2.3,9,6.1,2.5,6
"273","JP","Japan",2013-12-06,1.72806576751497,49,2.2,13,5.7,4.1,8
"274","KR","Korea, Republic Of",2001-12-06,1.78378378378377,44,5.5,29,10.5,7.39284247333078,12
"275","KR","Korea, Republic Of",2002-12-06,1.9375,45,5.9,31,10.2,19.7,15
"276","KR","Korea, Republic Of",2003-12-06,NA,NA,NA,NA,NA,NA,NA
"277","KR","Korea, Republic Of",2004-12-06,NA,NA,NA,NA,NA,NA,NA
"278","KR","Korea, Republic Of",2005-12-06,NA,NA,NA,NA,NA,NA,NA
"279","KR","Korea, Republic Of",2006-12-06,NA,NA,NA,NA,NA,NA,NA
"280","KR","Korea, Republic Of",2007-12-06,NA,NA,NA,NA,NA,NA,NA
"281","KR","Korea, Republic Of",2008-12-06,2.63,33,3.5,30,12.8,17.2,15
"282","KR","Korea, Republic Of",2009-12-06,2.1,23,2.7,53,11.8,11.4,13
"283","KR","Korea, Republic Of",2010-12-06,2.13,32,1.8,29,11.2,10.1,13
"284","KR","Korea, Republic Of",2011-12-06,1.38863769567861,45,2.9,27,10.9,15.7,11
"285","KR","Korea, Republic Of",2012-12-06,1.76899981104055,43,2.6,27,9.6,13,13
"286","KR","Korea, Republic Of",2013-12-06,1.90911897449766,42,2.7,28,9,12.1,13
"287","LU","Luxembourg",2001-12-06,NA,NA,NA,NA,NA,NA,NA
"288","LU","Luxembourg",2002-12-06,NA,NA,NA,NA,NA,NA,NA
"289","LU","Luxembourg",2003-12-06,NA,NA,NA,NA,NA,NA,NA
"290","LU","Luxembourg",2004-12-06,NA,NA,NA,NA,NA,NA,NA
"291","LU","Luxembourg",2005-12-06,NA,NA,NA,NA,NA,NA,NA
"292","LU","Luxembourg",2006-12-06,NA,NA,NA,NA,NA,NA,NA
"293","LU","Luxembourg",2007-12-06,NA,NA,NA,NA,NA,NA,NA
"294","LU","Luxembourg",2008-12-06,NA,NA,NA,NA,NA,NA,NA
"295","LU","Luxembourg",2009-12-06,NA,NA,NA,NA,NA,NA,NA
"296","LU","Luxembourg",2010-12-06,NA,NA,NA,NA,NA,NA,NA
"297","LU","Luxembourg",2011-12-06,NA,NA,NA,NA,NA,NA,NA
"298","LU","Luxembourg",2012-12-06,NA,NA,NA,NA,NA,NA,NA
"299","LU","Luxembourg",2013-12-06,2.18120192090134,43,6,43,2.4,14.1,46
"300","MX","Mexico",2001-12-06,2,26,13.4,50,5.8,33.4555786018428,40
"301","MX","Mexico",2002-12-06,2.2,16,9.2,61,1.5,23.2,51
"302","MX","Mexico",2003-12-06,NA,NA,NA,NA,NA,NA,NA
"303","MX","Mexico",2004-12-06,NA,NA,NA,NA,NA,NA,NA
"304","MX","Mexico",2005-12-06,1.6712340808713,30,4.6,46,1.9,17.2,33
"305","MX","Mexico",2006-12-06,2.41176470588235,31,4.1,41,2.3,15.7,27
"306","MX","Mexico",2007-12-06,NA,NA,NA,NA,NA,NA,NA
"307","MX","Mexico",2008-12-06,1.72,28,9.3,59,4.9,25.6,47
"308","MX","Mexico",2009-12-06,NA,NA,NA,NA,NA,NA,NA
"309","MX","Mexico",2010-12-06,2.19,33,9.2,65,0.4,22.3,56
"310","MX","Mexico",2011-12-06,1.69389775882777,27,5.7,61,3,24.2,43
"311","MX","Mexico",2012-12-06,2.64964456357982,26,7.9,62,4.7,18.4,45
"312","MX","Mexico",2013-12-06,3.28446971363466,32,11.9,59,4.2,16.9,54
"313","NL","Netherlands",2001-12-06,2.6875,27,2.3,37,3.8,3.27991076135785,42
"314","NL","Netherlands",2002-12-06,2.55555555555556,23,2.5,37,4.6,3.7,49
"315","NL","Netherlands",2003-12-06,3.13333333333333,24,1.7,32,3.8,4.4,29
"316","NL","Netherlands",2004-12-06,3,32,3,37,6.1,4.6,38
"317","NL","Netherlands",2005-12-06,2.45454545454545,30,2.5,42,5.7,4.1,39
"318","NL","Netherlands",2006-12-06,2.5,32,3.5,38,6.6,3.8,46
"319","NL","Netherlands",2007-12-06,2.58212602747659,22,2.7,39,6.4,4,42
"320","NL","Netherlands",2008-12-06,2.32049227384111,29,2.1,38,7.2,3.6,39
"321","NL","Netherlands",2009-12-06,2.44,29,3.1,47,8.1,5.5,36
"322","NL","Netherlands",2010-12-06,2.48272094817536,24,4,46,9,5.5,45
"323","NL","Netherlands",2011-12-06,2.32858003432634,35,4.3,42,8.7,8.5,48
"324","NL","Netherlands",2012-12-06,2.10896856538036,30,4.1,42,9.5,8.6,34
"325","NL","Netherlands",2013-12-06,1.89856684579706,37,4.7,42,8.7,9.1,33
"326","NO","Norway",2001-12-06,2.14285714285714,29,4,36,6.5,14.3998538081886,59
"327","NO","Norway",2002-12-06,2.24,26,5.2,42,6.3,8.7,44
"328","NO","Norway",2003-12-06,2.86111111111111,24,3.9,40,6.1,6.6,37
"329","NO","Norway",2004-12-06,2.77142857142857,26,3.9,42,6.3,7.6,41
"330","NO","Norway",2005-12-06,3.04651162790698,22,4.2,42,7.3,7.3,46
"331","NO","Norway",2006-12-06,2.85714285714286,25,5,39,6,6.2,51
"332","NO","Norway",2007-12-06,2.97674418604651,18,3.8,36,4.8,5.6,46
